Summary Information;LOC/File;Classes/File;Interfaces/File;Methods/File;Package Name;Class Name;Class Size;Methods/Class;Method Name;Method Size;;;;
Totals;24336;116;11;798;;;623;2;;20883;;;;
Average;197,8536585;;;6,487804878;;;51,91666667;0,5;;26,16917293;;;;
Max;1122;;;43;;;217;2;;502;;;;
Min;4;;;0;;;2;0;;1;;;;

Raw Data;LOC/File;Classes/File;Interfaces/File;Methods/File;Package Name;Class Name;Class Size;Methods/Class;Method Name;Method Size;;;;
ClientTask.java;21;1;0;9;zeta;;;;;;;ClientTask;19;9
;;;;;;;;;getVersion;1;;;;
;;;;;;;;;setResources;1;;;;
;;;;;;;;;setEnableStandardOutput;1;;;;
;;;;;;;;;start;1;;;;
;;;;;;;;;stop;1;;;;
;;;;;;;;;createWorkUnits;1;;;;
;;;;;;;;;createWorkUnits;1;;;;
;;;;;;;;;Constructor;3;;;;
;;;;;;;;;getWorkUnitManager;6;;;;
PipeStream.java;39;1;0;3;zeta;;;;;;;PipeStream;33;3
;;;;;;;;;Constructor;4;;;;
;;;;;;;;;close;9;;;;
;;;;;;;;;run;14;;;;
Task.java;33;1;0;5;zeta;;;;;;;Task;32;5
;;;;;;;;;Constructor;8;;;;
;;;;;;;;;getId;3;;;;
;;;;;;;;;getName;3;;;;
;;;;;;;;;getWorkUnitClass;3;;;;
;;;;;;;;;createWorkUnit;10;;;;
TaskManager.java;79;1;0;3;zeta;;;;;;;TaskManager;68;3
;;;;;;;;;getInstance;6;;;;
;;;;;;;;;getClientTask;3;;;;
;;;;;;;;;Constructor;55;;;;
WorkloadScheduler.java;215;1;0;8;zeta;;;;;;;WorkloadScheduler;210;8
;;;;;;;;;Constructor;39;;;;
;;;;;;;;;isAlwaysActive;3;;;;
;;;;;;;;;isActive;22;;;;
;;;;;;;;;getCPUUsage;19;;;;
;;;;;;;;;getTimeMillisToNextTimeframe;26;;;;
;;;;;;;;;checkTimeframe;16;;;;
;;;;;;;;;addTimeframe;29;;;;
;;;;;;;;;timeframe;50;;;;
WorkUnit.java;51;1;0;14;zeta;;;;;;;WorkUnit;47;14
;;;;;;;;;getParameters;1;;;;
;;;;;;;;;isCompleted;1;;;;
;;;;;;;;;containsFilenames;1;;;;
;;;;;;;;;getLogFilename;1;;;;
;;;;;;;;;isPartOfWorkUnit;1;;;;
;;;;;;;;;Constructor;6;;;;
;;;;;;;;;getTaskId;3;;;;
;;;;;;;;;getWorkUnitId;3;;;;
;;;;;;;;;getSize;3;;;;
;;;;;;;;;isRecompute;3;;;;
;;;;;;;;;isValid;3;;;;
;;;;;;;;;equals;9;;;;
;;;;;;;;;hashCode;3;;;;
;;;;;;;;;toString;3;;;;
WorkUnitManager.java;756;1;0;14;zeta;;;;;;;WorkUnitManager;722;14
;;;;;;;;;Constructor;65;;;;
;;;;;;;;;getWorkUnit;28;;;;
;;;;;;;;;submit;59;;;;
;;;;;;;;;compare;40;;;;
;;;;;;;;;storeData;217;;;;
;;;;;;;;;storeCompletedWorkUnits;33;;;;
;;;;;;;;;requestNewWorkUnits;106;;;;
;;;;;;;;;getNumberOfActiveWorkUnits;5;;;;
;;;;;;;;;numberOfLocalWorkUnits;26;;;;
;;;;;;;;;numberOfCompletedLocalWorkUnits;22;;;;
;;;;;;;;;cleanWorkUnits;51;;;;
;;;;;;;;;retrievePossibleWorkUnits;27;;;;
;;;;;;;;;storePossibleWorkUnits;19;;;;
;;;;;;;;;getKey;13;;;;
ZetaCalc.java;227;1;0;5;zeta;;;;;;;ZetaCalc;222;5
;;;;;;;;;Constructor;39;;;;
;;;;;;;;;run;136;;;;
;;;;;;;;;appendTimeInfo;28;;;;
;;;;;;;;;checkExit;7;;;;
;;;;;;;;;getExitFile;4;;;;
ZetaClient.java;393;1;0;19;zeta;;;;;;;ZetaClient;363;19
;;;;;;;;;main;24;;;;
;;;;;;;;;isUnknownHostExceptionOccur;3;;;;
;;;;;;;;;Constructor;33;;;;
;;;;;;;;;downloadFiles;110
;;;;;;;;;ignoreFilename;3
;;;;;;;;;startComputationManager;15
;;;;;;;;;exit;9
;;;;;;;;;writeData;22
;;;;;;;;;getSignatures;5
;;;;;;;;;verifySignatures;7
;;;;;;;;;extractSignature;27
;;;;;;;;;extractTasks;23
;;;;;;;;;isTrustedUser;14
;;;;;;;;;setProxyAuthentification;14
;;;;;;;;;getKey;10
;;;;;;;;;encrypt;3
;;;;;;;;;encrypt;14
;;;;;;;;;encryptURLFile;17
;;;;;;;;;verify;4
ZetaInfo.java;209;1;0;11;zeta;;;;;;;ZetaInfo;200;11
;;;;;;;;;init;22;;;;
;;;;;;;;;init;22;;;;
;;;;;;;;;write;3;;;;
;;;;;;;;;write;54;;;;
;;;;;;;;;handle;29;;;;
;;;;;;;;;setAppendsTimestamp;7;;;;
;;;;;;;;;setEventLogTimestamp;7;;;;
;;;;;;;;;setStandardOutput;3;;;;
;;;;;;;;;setExceptionOutput;3;;;;
;;;;;;;;;rollOver;16;;;;
;;;;;;;;;toFileSize;23;;;;
ZetaProperties.java;14;1;0;1;zeta;;;;;;;ZetaProperties;11;1
;;;;;;;;;Constructor;9;;;;
ZetaTask.java;132;1;0;13;zeta;;;;;;;ZetaTask;123;13
;;;;;;;;;Constructor;8;;;;
;;;;;;;;;getVersion;3;;;;
;;;;;;;;;setEnableStandardOutput;3;;;;
;;;;;;;;;setResources;11;;;;
;;;;;;;;;start;8;;;;
;;;;;;;;;stop;8;;;;
;;;;;;;;;createWorkUnits;48;;;;
;;;;;;;;;createWorkUnits;18;;;;
;;;;;;;;;getZetaVersion;1;;;;
;;;;;;;;;zetaZeros;1;;;;
;;;;;;;;;zetaExit;1;;;;
;;;;;;;;;setCoutLog;1;;;;
;;;;;;;;;setZetaResources;1;;;;
Bzip2Constants.java;59;0;1;0;zeta.crypto;;;;;;;Bzip2Constants;58;
Bzip2CRC.java;90;1;0;4;zeta.crypto;;;;;;;Bzip2CRC;89;4
;;;;;;;;;Constructor;3;;;;
;;;;;;;;;get;3;;;;
;;;;;;;;;init;3;;;;
;;;;;;;;;update;11;;;;
Bzip2InputStream.java;485;1;0;13;zeta.crypto;;;;;;;Bzip2InputStream;482;13
;;;;;;;;;Constructor;20;;;;
;;;;;;;;;read;30;;;;
;;;;;;;;;close;10;;;;
;;;;;;;;;read;36;;;;
;;;;;;;;;readInt;3;;;;
